average price,total_guests,total_nights,room type,type of meal,market segment type,month,year,booking status
121.5,3,2,Room_Type 4,Meal Plan 1,Online,12.0,2018.0,Not_Canceled
111.9,2,3,Room_Type 1,Meal Plan 1,Online,6.0,2018.0,Not_Canceled
121.55,3,7,Room_Type 4,Meal Plan 1,Online,6.0,2018.0,Canceled
75.0,2,5,Room_Type 1,Meal Plan 1,Offline,3.0,2018.0,Not_Canceled
159.3,4,2,Room_Type 6,Meal Plan 1,Online,4.0,2018.0,Canceled
132.3,2,5,Room_Type 4,Meal Plan 1,Online,10.0,2018.0,Canceled
88.0,2,2,Room_Type 1,Not Selected,Online,12.0,2018.0,Not_Canceled
98.82,2,5,Room_Type 4,Meal Plan 1,Online,3.0,2018.0,Not_Canceled
98.3,2,3,Room_Type 4,Meal Plan 1,Online,3.0,2018.0,Not_Canceled
150.0,1,1,Room_Type 1,Meal Plan 1,Online,10.0,2018.0,Not_Canceled
96.05,2,5,Room_Type 1,Not Selected,Online,9.0,2018.0,Not_Canceled
130.0,1,2,Room_Type 1,Meal Plan 1,Online,6.0,2018.0,Canceled
95.0,2,1,Room_Type 1,Not Selected,Online,12.0,2018.0,Not_Canceled
113.56,2,3,Room_Type 5,Meal Plan 1,Offline,8.0,2018.0,Not_Canceled
101.58,2,4,Room_Type 1,Not Selected,Online,5.0,2018.0,Not_Canceled
105.3,2,3,Room_Type 1,Meal Plan 1,Online,3.0,2018.0,Not_Canceled
115.8,2,3,Room_Type 4,Meal Plan 1,Online,4.0,2018.0,Not_Canceled
149.4,2,1,Room_Type 4,Meal Plan 1,Online,5.0,2018.0,Not_Canceled
111.59,2,7,Room_Type 1,Meal Plan 1,Online,8.0,2018.0,Canceled
130.5,3,2,Room_Type 1,Meal Plan 1,Online,8.0,2018.0,Not_Canceled
115.0,2,2,Room_Type 1,Meal Plan 2,Online,8.0,2018.0,Canceled
90.95,2,4,Room_Type 1,Meal Plan 1,Online,4.0,2018.0,Not_Canceled
76.08,2,3,Room_Type 1,Meal Plan 1,Online,11.0,2018.0,Not_Canceled
156.9,4,4,Room_Type 6,Meal Plan 1,Online,12.0,2018.0,Not_Canceled
85.5,2,1,Room_Type 1,Not Selected,Online,10.0,2018.0,Not_Canceled
159.3,3,3,Room_Type 4,Meal Plan 1,Online,5.0,2018.0,Not_Canceled
74.8,1,4,Room_Type 1,Meal Plan 1,Online,12.0,2018.0,Not_Canceled
95.0,2,1,Room_Type 1,Meal Plan 1,Online,10.0,2017.0,Not_Canceled
107.0,2,3,Room_Type 1,Meal Plan 1,Online,10.0,2017.0,Not_Canceled
64.0,2,3,Room_Type 1,Meal Plan 1,Offline,2.0,2018.0,Not_Canceled
82.95,2,5,Room_Type 1,Meal Plan 1,Online,11.0,2017.0,Not_Canceled
155.0,2,4,Room_Type 4,Meal Plan 1,Online,9.0,2017.0,Not_Canceled
101.68,2,1,Room_Type 1,Not Selected,Online,6.0,2018.0,Not_Canceled
94.5,2,3,Room_Type 1,Meal Plan 1,Online,9.0,2017.0,Not_Canceled
117.9,2,2,Room_Type 1,Meal Plan 1,Online,9.0,2018.0,Canceled
127.0,2,1,Room_Type 1,Not Selected,Online,6.0,2018.0,Not_Canceled
116.1,2,3,Room_Type 1,Not Selected,Online,6.0,2018.0,Not_Canceled
117.9,2,5,Room_Type 1,Meal Plan 1,Online,6.0,2018.0,Not_Canceled
184.24,4,4,Room_Type 2,Meal Plan 1,Online,6.0,2018.0,Canceled
155.7,3,4,Room_Type 4,Meal Plan 1,Online,8.0,2018.0,Not_Canceled
135.76,3,7,Room_Type 4,Meal Plan 1,Online,4.0,2018.0,Canceled
102.83,3,7,Room_Type 1,Meal Plan 1,Online,11.0,2018.0,Not_Canceled
65.0,2,1,Room_Type 1,Meal Plan 1,Online,4.0,2018.0,Canceled
103.0,2,5,Room_Type 1,Meal Plan 1,Online,11.0,2017.0,Not_Canceled
106.2,2,3,Room_Type 1,Meal Plan 1,Online,9.0,2018.0,Canceled
58.5,2,2,Room_Type 1,Meal Plan 2,Offline,9.0,2018.0,Not_Canceled
73.95,2,4,Room_Type 1,Meal Plan 1,Online,3.0,2018.0,Canceled
105.3,2,3,Room_Type 1,Meal Plan 1,Online,5.0,2018.0,Not_Canceled
133.2,3,2,Room_Type 4,Meal Plan 1,Online,4.0,2018.0,Not_Canceled
85.5,2,2,Room_Type 1,Meal Plan 1,Offline,3.0,2018.0,Not_Canceled
112.0,1,1,Room_Type 1,Meal Plan 1,Online,11.0,2018.0,Canceled
190.8,4,2,Room_Type 6,Meal Plan 1,Online,10.0,2018.0,Canceled
110.0,1,5,Room_Type 1,Meal Plan 1,Offline,6.0,2018.0,Not_Canceled
91.48,2,5,Room_Type 4,Meal Plan 1,Online,7.0,2018.0,Not_Canceled
135.0,2,2,Room_Type 1,Not Selected,Online,10.0,2018.0,Not_Canceled
129.0,1,3,Room_Type 1,Meal Plan 1,Online,10.0,2018.0,Not_Canceled
70.55,2,6,Room_Type 1,Not Selected,Online,12.0,2018.0,Canceled
75.0,2,5,Room_Type 4,Meal Plan 1,Offline,10.0,2017.0,Not_Canceled
72.25,1,4,Room_Type 1,Not Selected,Online,3.0,2018.0,Not_Canceled
155.0,2,1,Room_Type 4,Meal Plan 1,Online,10.0,2017.0,Not_Canceled
121.5,3,1,Room_Type 1,Meal Plan 1,Online,7.0,2018.0,Canceled
90.95,2,7,Room_Type 1,Meal Plan 1,Online,6.0,2018.0,Not_Canceled
109.65,1,4,Room_Type 1,Meal Plan 1,Online,5.0,2018.0,Not_Canceled
142.72,3,6,Room_Type 4,Meal Plan 1,Online,4.0,2018.0,Canceled
90.0,1,3,Room_Type 1,Meal Plan 1,Offline,5.0,2018.0,Not_Canceled
75.0,2,2,Room_Type 1,Meal Plan 1,Online,6.0,2018.0,Canceled
111.0,2,2,Room_Type 1,Meal Plan 1,Online,11.0,2018.0,Canceled
86.7,2,4,Room_Type 1,Meal Plan 1,Online,10.0,2018.0,Not_Canceled
117.9,2,1,Room_Type 1,Meal Plan 1,Online,3.0,2018.0,Not_Canceled
0.0,1,2,Room_Type 1,Meal Plan 1,Complementary,6.0,2018.0,Not_Canceled
101.58,2,4,Room_Type 1,Not Selected,Online,5.0,2018.0,Not_Canceled
58.9,2,3,Room_Type 1,Not Selected,Online,4.0,2018.0,Not_Canceled
120.0,2,1,Room_Type 1,Meal Plan 1,Offline,6.0,2018.0,Not_Canceled
107.1,2,5,Room_Type 4,Meal Plan 1,Online,4.0,2018.0,Canceled
126.9,2,2,Room_Type 1,Meal Plan 1,Online,5.0,2018.0,Not_Canceled
139.5,2,3,Room_Type 4,Meal Plan 1,Online,9.0,2018.0,Canceled
80.75,2,4,Room_Type 1,Not Selected,Online,4.0,2018.0,Not_Canceled
109.0,2,2,Room_Type 1,Meal Plan 2,Online,7.0,2017.0,Canceled
104.0,2,1,Room_Type 1,Meal Plan 2,Offline,4.0,2018.0,Not_Canceled
65.0,1,3,Room_Type 1,Meal Plan 1,Corporate,11.0,2018.0,Not_Canceled
140.4,2,3,Room_Type 4,Meal Plan 1,Online,5.0,2018.0,Not_Canceled
75.0,2,3,Room_Type 1,Meal Plan 1,Offline,2.0,2018.0,Not_Canceled
94.5,2,1,Room_Type 1,Not Selected,Online,4.0,2018.0,Canceled
109.0,2,1,Room_Type 1,Not Selected,Online,6.0,2018.0,Not_Canceled
105.0,2,4,Room_Type 1,Meal Plan 1,Online,11.0,2018.0,Not_Canceled
107.95,2,4,Room_Type 4,Meal Plan 1,Online,4.0,2018.0,Not_Canceled
215.6,3,4,Room_Type 7,Meal Plan 1,Online,10.0,2018.0,Not_Canceled
85.5,2,2,Room_Type 1,Not Selected,Online,8.0,2018.0,Not_Canceled
105.3,2,2,Room_Type 1,Meal Plan 1,Online,7.0,2018.0,Not_Canceled
1.0,1,3,Room_Type 1,Meal Plan 2,Online,1.0,2018.0,Not_Canceled
156.0,2,2,Room_Type 4,Meal Plan 1,Online,6.0,2018.0,Canceled
73.15,1,2,Room_Type 1,Meal Plan 1,Online,11.0,2018.0,Not_Canceled
110.0,2,3,Room_Type 1,Meal Plan 1,Online,9.0,2018.0,Canceled
87.4,3,1,Room_Type 1,Not Selected,Online,9.0,2017.0,Not_Canceled
120.0,2,2,Room_Type 1,Meal Plan 1,Online,9.0,2018.0,Canceled
79.2,2,3,Room_Type 1,Not Selected,Online,12.0,2018.0,Canceled
90.95,2,4,Room_Type 1,Meal Plan 1,Online,6.0,2018.0,Not_Canceled
91.48,2,4,Room_Type 1,Meal Plan 1,Online,10.0,2018.0,Not_Canceled
150.0,3,1,Room_Type 1,Meal Plan 1,Online,11.0,2018.0,Canceled
89.0,2,1,Room_Type 1,Not Selected,Online,3.0,2018.0,Not_Canceled
91.43,2,5,Room_Type 1,Not Selected,Online,8.0,2018.0,Not_Canceled
140.0,2,2,Room_Type 1,Meal Plan 1,Offline,5.0,2018.0,Not_Canceled
87.78,2,7,Room_Type 1,Not Selected,Online,10.0,2017.0,Not_Canceled
115.0,2,2,Room_Type 1,Meal Plan 2,Online,7.0,2018.0,Canceled
80.85,2,3,Room_Type 1,Meal Plan 1,Online,9.0,2017.0,Not_Canceled
82.45,2,4,Room_Type 1,Meal Plan 1,Online,3.0,2018.0,Not_Canceled
108.0,2,1,Room_Type 1,Not Selected,Online,10.0,2018.0,Canceled
96.3,2,2,Room_Type 4,Meal Plan 1,Online,4.0,2018.0,Not_Canceled
99.45,2,6,Room_Type 1,Meal Plan 1,Online,8.0,2018.0,Canceled
140.4,2,2,Room_Type 4,Meal Plan 1,Online,5.0,2018.0,Not_Canceled
72.25,2,4,Room_Type 1,Meal Plan 1,Offline,8.0,2018.0,Not_Canceled
126.0,2,5,Room_Type 4,Meal Plan 1,Online,8.0,2018.0,Not_Canceled
78.0,2,5,Room_Type 1,Meal Plan 1,Online,8.0,2018.0,Canceled
146.6,1,4,Room_Type 4,Meal Plan 1,Online,11.0,2018.0,Not_Canceled
118.8,2,3,Room_Type 1,Meal Plan 1,Online,10.0,2018.0,Canceled
145.0,1,1,Room_Type 1,Meal Plan 1,Online,10.0,2018.0,Canceled
84.58,2,4,Room_Type 1,Meal Plan 1,Online,4.0,2018.0,Canceled
130.0,2,3,Room_Type 1,Meal Plan 2,Online,3.0,2018.0,Canceled
118.88,2,14,Room_Type 4,Meal Plan 1,Online,8.0,2018.0,Canceled
101.52,2,3,Room_Type 1,Meal Plan 1,Offline,5.0,2018.0,Not_Canceled
100.0,2,1,Room_Type 1,Meal Plan 1,Corporate,9.0,2017.0,Canceled
58.0,2,3,Room_Type 1,Meal Plan 1,Offline,3.0,2018.0,Not_Canceled
61.5,2,4,Room_Type 1,Meal Plan 1,Offline,3.0,2018.0,Not_Canceled
107.0,2,3,Room_Type 1,Meal Plan 2,Online,9.0,2018.0,Canceled
87.3,2,5,Room_Type 1,Not Selected,Online,8.0,2018.0,Not_Canceled
76.5,2,2,Room_Type 1,Meal Plan 1,Online,7.0,2017.0,Canceled
63.75,2,4,Room_Type 1,Not Selected,Online,12.0,2018.0,Canceled
95.0,2,3,Room_Type 1,Meal Plan 1,Online,5.0,2018.0,Canceled
75.0,2,3,Room_Type 1,Meal Plan 1,Offline,11.0,2018.0,Not_Canceled
70.0,2,3,Room_Type 1,Meal Plan 1,Online,9.0,2018.0,Canceled
101.58,2,4,Room_Type 1,Meal Plan 1,Online,5.0,2018.0,Not_Canceled
85.0,2,5,Room_Type 1,Meal Plan 1,Offline,8.0,2018.0,Not_Canceled
98.39,2,6,Room_Type 1,Meal Plan 1,Online,12.0,2018.0,Not_Canceled
0.0,1,0,Room_Type 1,Meal Plan 1,Complementary,2.0,2018.0,Not_Canceled
106.07,2,3,Room_Type 1,Meal Plan 1,Online,9.0,2017.0,Not_Canceled
105.0,2,2,Room_Type 1,Meal Plan 1,Offline,7.0,2018.0,Not_Canceled
145.0,2,1,Room_Type 1,Meal Plan 1,Online,9.0,2017.0,Not_Canceled
106.03,3,3,Room_Type 1,Meal Plan 1,Online,8.0,2018.0,Canceled
114.3,2,4,Room_Type 1,Meal Plan 1,Online,8.0,2018.0,Not_Canceled
88.0,1,2,Room_Type 1,Not Selected,Online,12.0,2018.0,Not_Canceled
89.25,2,2,Room_Type 1,Meal Plan 1,Online,10.0,2017.0,Not_Canceled
86.32,3,7,Room_Type 4,Meal Plan 1,Online,3.0,2018.0,Not_Canceled
90.0,2,3,Room_Type 1,Meal Plan 1,Offline,10.0,2018.0,Not_Canceled
55.96,2,7,Room_Type 1,Meal Plan 1,Online,8.0,2017.0,Not_Canceled
109.0,1,2,Room_Type 1,Not Selected,Online,6.0,2018.0,Not_Canceled
86.0,2,1,Room_Type 1,Meal Plan 1,Offline,3.0,2018.0,Not_Canceled
118.95,2,6,Room_Type 1,Meal Plan 1,Online,9.0,2018.0,Not_Canceled
130.0,2,2,Room_Type 1,Meal Plan 1,Offline,6.0,2018.0,Not_Canceled
90.56,2,4,Room_Type 1,Not Selected,Online,4.0,2018.0,Not_Canceled
87.3,2,2,Room_Type 1,Meal Plan 1,Online,4.0,2018.0,Not_Canceled
177.65,4,4,Room_Type 6,Meal Plan 1,Online,5.0,2018.0,Canceled
200.75,3,4,Room_Type 6,Meal Plan 1,Online,9.0,2017.0,Not_Canceled
127.0,3,2,Room_Type 1,Meal Plan 1,Online,3.0,2018.0,Not_Canceled
72.9,1,3,Room_Type 1,Meal Plan 1,Online,2.0,2018.0,Canceled
159.3,3,2,Room_Type 4,Meal Plan 1,Online,5.0,2018.0,Canceled
135.15,3,4,Room_Type 1,Meal Plan 1,Online,5.0,2018.0,Not_Canceled
90.0,1,2,Room_Type 1,Meal Plan 1,Offline,10.0,2018.0,Not_Canceled
114.0,2,1,Room_Type 1,Not Selected,Online,10.0,2017.0,Not_Canceled
125.1,3,1,Room_Type 1,Meal Plan 1,Online,6.0,2018.0,Not_Canceled
95.13,2,8,Room_Type 1,Not Selected,Online,8.0,2017.0,Not_Canceled
105.84,2,2,Room_Type 5,Meal Plan 1,Online,4.0,2018.0,Canceled
102.0,2,4,Room_Type 1,Meal Plan 1,Online,12.0,2018.0,Canceled
74.8,2,4,Room_Type 1,Not Selected,Online,12.0,2018.0,Not_Canceled
94.5,2,1,Room_Type 1,Not Selected,Online,4.0,2018.0,Canceled
120.6,2,6,Room_Type 1,Not Selected,Online,6.0,2018.0,Not_Canceled
139.33,2,3,Room_Type 1,Meal Plan 1,Online,10.0,2017.0,Not_Canceled
105.0,2,2,Room_Type 1,Meal Plan 1,Online,9.0,2017.0,Not_Canceled
100.0,2,2,Room_Type 1,Not Selected,Corporate,9.0,2018.0,Not_Canceled
80.3,2,1,Room_Type 1,Meal Plan 1,Online,2.0,2018.0,Not_Canceled
100.0,1,2,Room_Type 1,Meal Plan 1,Offline,10.0,2017.0,Not_Canceled
105.3,2,3,Room_Type 1,Meal Plan 1,Online,3.0,2018.0,Not_Canceled
112.8,2,4,Room_Type 4,Meal Plan 1,Online,5.0,2018.0,Canceled
151.0,2,3,Room_Type 1,Meal Plan 1,Online,8.0,2018.0,Canceled
91.0,1,4,Room_Type 1,Meal Plan 1,Online,11.0,2017.0,Not_Canceled
146.7,3,3,Room_Type 4,Meal Plan 1,Online,8.0,2018.0,Canceled
58.4,2,5,Room_Type 1,Meal Plan 1,Offline,10.0,2017.0,Not_Canceled
80.75,2,4,Room_Type 1,Not Selected,Online,7.0,2018.0,Canceled
76.5,2,2,Room_Type 1,Not Selected,Offline,5.0,2018.0,Not_Canceled
140.13,3,3,Room_Type 4,Meal Plan 1,Online,9.0,2018.0,Not_Canceled
76.0,2,6,Room_Type 1,Not Selected,Online,11.0,2017.0,Not_Canceled
200.0,2,1,Room_Type 1,Meal Plan 1,Online,9.0,2017.0,Not_Canceled
101.5,2,2,Room_Type 1,Meal Plan 2,Online,10.0,2017.0,Canceled
108.0,2,3,Room_Type 1,Not Selected,Online,10.0,2018.0,Not_Canceled
189.0,3,5,Room_Type 4,Meal Plan 2,Online,7.0,2018.0,Not_Canceled
166.0,3,2,Room_Type 4,Meal Plan 1,Online,6.0,2018.0,Not_Canceled
67.5,2,2,Room_Type 1,Not Selected,Online,1.0,2018.0,Not_Canceled
78.54,2,4,Room_Type 4,Meal Plan 1,Online,9.0,2017.0,Not_Canceled
152.1,1,4,Room_Type 1,Meal Plan 1,Online,11.0,2018.0,Canceled
115.0,1,3,Room_Type 1,Meal Plan 1,Online,10.0,2018.0,Canceled
66.53,2,7,Room_Type 1,Not Selected,Online,9.0,2017.0,Not_Canceled
0.0,1,2,Room_Type 1,Meal Plan 1,Complementary,8.0,2017.0,Not_Canceled
0.0,1,3,Room_Type 1,Meal Plan 1,Complementary,8.0,2017.0,Not_Canceled
90.3,2,3,Room_Type 1,Meal Plan 1,Online,12.0,2018.0,Canceled
85.0,2,2,Room_Type 1,Meal Plan 1,Offline,4.0,2018.0,Not_Canceled
75.0,1,1,Room_Type 1,Meal Plan 1,Corporate,3.0,2018.0,Not_Canceled
115.37,2,6,Room_Type 1,Meal Plan 1,Online,8.0,2018.0,Canceled
130.0,2,3,Room_Type 1,Meal Plan 2,Online,3.0,2018.0,Canceled
126.0,3,2,Room_Type 4,Meal Plan 1,Online,12.0,2018.0,Not_Canceled
94.35,2,1,Room_Type 1,Meal Plan 1,Online,6.0,2018.0,Not_Canceled
118.46,3,6,Room_Type 4,Meal Plan 1,Online,7.0,2018.0,Not_Canceled
90.6,1,2,Room_Type 1,Meal Plan 2,Online,6.0,2018.0,Canceled
82.9,1,3,Room_Type 1,Meal Plan 1,Online,3.0,2018.0,Not_Canceled
95.33,2,3,Room_Type 1,Meal Plan 1,Online,8.0,2017.0,Not_Canceled
135.64,3,7,Room_Type 4,Meal Plan 1,Online,4.0,2018.0,Not_Canceled
122.4,3,2,Room_Type 4,Meal Plan 1,Offline,6.0,2018.0,Not_Canceled
116.1,2,4,Room_Type 1,Not Selected,Online,5.0,2018.0,Canceled
62.18,2,4,Room_Type 1,Not Selected,Online,6.0,2018.0,Canceled
63.75,2,4,Room_Type 1,Not Selected,Online,3.0,2018.0,Canceled
118.8,1,5,Room_Type 1,Meal Plan 1,Online,9.0,2018.0,Canceled
167.0,2,2,Room_Type 1,Not Selected,Online,8.0,2018.0,Not_Canceled
187.85,4,4,Room_Type 6,Meal Plan 1,Online,5.0,2018.0,Not_Canceled
108.38,2,4,Room_Type 1,Meal Plan 1,Online,4.0,2018.0,Canceled
0.0,2,1,Room_Type 2,Meal Plan 1,Complementary,9.0,2018.0,Not_Canceled
128.7,3,3,Room_Type 1,Meal Plan 1,Online,10.0,2018.0,Canceled
80.33,2,4,Room_Type 1,Meal Plan 1,Online,3.0,2018.0,Not_Canceled
140.0,2,2,Room_Type 1,Meal Plan 1,Online,8.0,2018.0,Canceled
76.5,3,2,Room_Type 1,Meal Plan 1,Online,8.0,2017.0,Not_Canceled
105.3,2,3,Room_Type 1,Meal Plan 1,Online,5.0,2018.0,Not_Canceled
87.3,2,3,Room_Type 1,Meal Plan 1,Online,4.0,2018.0,Canceled
110.0,1,3,Room_Type 1,Meal Plan 1,Online,11.0,2018.0,Canceled
83.0,1,1,Room_Type 1,Meal Plan 2,Offline,9.0,2017.0,Not_Canceled
99.45,2,4,Room_Type 1,Meal Plan 1,Online,8.0,2018.0,Not_Canceled
104.5,3,3,Room_Type 1,Meal Plan 2,Offline,12.0,2017.0,Not_Canceled
92.54,2,8,Room_Type 1,Meal Plan 1,Online,11.0,2018.0,Not_Canceled
95.0,1,3,Room_Type 1,Meal Plan 1,Offline,10.0,2018.0,Not_Canceled
130.0,1,2,Room_Type 1,Meal Plan 1,Online,6.0,2018.0,Canceled
63.0,2,3,Room_Type 1,Meal Plan 1,Offline,1.0,2018.0,Not_Canceled
109.8,2,3,Room_Type 4,Meal Plan 1,Online,10.0,2018.0,Canceled
103.0,2,1,Room_Type 1,Meal Plan 1,Online,5.0,2018.0,Not_Canceled
130.0,3,3,Room_Type 4,Meal Plan 1,Online,2.0,2018.0,Not_Canceled
117.0,2,2,Room_Type 1,Meal Plan 1,Online,3.0,2018.0,Canceled
60.5,2,4,Room_Type 4,Meal Plan 1,Offline,12.0,2017.0,Not_Canceled
112.2,2,1,Room_Type 1,Meal Plan 2,Offline,9.0,2017.0,Not_Canceled
135.9,2,4,Room_Type 1,Meal Plan 1,Online,8.0,2018.0,Canceled
151.0,2,1,Room_Type 1,Meal Plan 1,Online,7.0,2018.0,Canceled
239.0,4,2,Room_Type 6,Meal Plan 1,Online,9.0,2018.0,Not_Canceled
59.09,2,3,Room_Type 1,Meal Plan 1,Online,12.0,2017.0,Not_Canceled
103.09,2,7,Room_Type 1,Meal Plan 1,Online,7.0,2018.0,Canceled
87.0,2,3,Room_Type 1,Meal Plan 1,Offline,2.0,2018.0,Not_Canceled
137.0,3,1,Room_Type 4,Meal Plan 1,Online,4.0,2018.0,Canceled
109.0,2,2,Room_Type 1,Meal Plan 2,Offline,6.0,2018.0,Not_Canceled
115.0,2,2,Room_Type 1,Meal Plan 2,Online,6.0,2018.0,Canceled
